yearmonth,bundle,executeCount,userCount
200804,org.eclipse.jst.ws.axis.consumption.ui,9,8
200804,org.eclipse.jst.ws.axis.creation.ui,8,6
200804,org.eclipse.jst.ws.axis2.consumption.core,1,1
200804,org.eclipse.jst.ws.axis2.consumption.ui,1,1
200804,org.eclipse.jst.ws.axis2.core,6,6
200804,org.eclipse.jst.ws.axis2.creation.core,1,1
200804,org.eclipse.jst.ws.axis2.creation.ui,1,1
200804,org.eclipse.jst.ws.axis2.ui,5,5
200804,org.eclipse.jst.ws.consumption,15,10
200804,org.eclipse.jst.ws.consumption.ui,12,10
200804,org.eclipse.jst.ws.creation.ui,11,10
200804,org.eclipse.jst.ws.uddiregistry,8,7
200804,org.eclipse.jst.ws.ui,16,14
200804,org.eclipse.ltk.core.refactoring,2956,739
200804,org.eclipse.ltk.ui.refactoring,2662,706
200804,org.eclipse.m2m.atl.adt.builder,14,5
200804,org.eclipse.m2m.atl.adt.debug,2,1
200804,org.eclipse.m2m.atl.adt.editor,217,52
200804,org.eclipse.m2m.atl.adt.wizard,225,60
200804,org.eclipse.m2m.atl.compilers.atl2006,1,1
200804,org.eclipse.m2m.atl.dsls,7,1
