bundle, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.core.resources.jmx, 269, 97, 427, 138, 490, 180, 697, 233, 604, 220, 777, 262, 811, 275, 1003, 355, 243, 146
org.eclipse.core.runtime, 121203, 34281, 150309, 44001, 202930, 60373, 319646, 88868, 355286, 100549, 352230, 101979, 351906, 102176, 393652, 112917, 129798, 55919
org.eclipse.core.runtime.compatibility, 121200, 34283, 150314, 44000, 202948, 60378, 319659, 88869, 355313, 100551, 352302, 101986, 351884, 102176, 393653, 112912, 129771, 55914
org.eclipse.core.runtime.compatibility.auth, 121215, 34285, 150304, 43996, 202921, 60375, 319643, 88866, 355337, 100550, 352235, 101982, 351848, 102177, 393628, 112913, 129766, 55916
org.eclipse.core.variables, 80509, 27465, 107792, 36499, 146073, 50472, 236294, 75100, 270247, 86290, 271393, 87831, 269212, 87968, 302261, 96881, 99126, 48724
org.eclipse.datatools.connectivity, 8548, 5039, 11031, 6345, 12924, 7295, 18540, 10264, 20794, 11370, 22043, 11667, 21967, 11617, 23724, 12623, 7314, 5153
org.eclipse.datatools.connectivity.apache.derby, 2699, 1688, 3339, 2070, 3659, 2225, 5021, 3020, 5553, 3340, 5944, 3556, 5907, 3494, 6248, 3673, 1914, 1422
org.eclipse.datatools.connectivity.apache.derby.ui, 618, 514, 644, 558, 699, 600, 955, 798, 1076, 895, 1029, 854, 1041, 889, 1137, 936, 323, 298
org.eclipse.datatools.connectivity.db.generic, 474, 320, 488, 315, 574, 370, 753, 480, 751, 484, 656, 451, 717, 455, 792, 503, 165, 140
org.eclipse.datatools.connectivity.db.generic.ui, 650, 542, 679, 586, 716, 615, 991, 828, 1085, 914, 1015, 848, 1054, 908, 1117, 928, 316, 291
org.eclipse.datatools.connectivity.oda, 749, 482, 889, 549, 937, 545, 1143, 680, 1188, 690, 1302, 749, 1332, 744, 1421, 808, 408, 287
org.eclipse.datatools.connectivity.oda.consumer, 265, 143, 330, 193, 433, 227, 446, 239, 509, 265, 550, 279, 630, 325, 732, 365, 175, 112
org.eclipse.datatools.connectivity.oda.design, 182, 116, 251, 161, 324, 174, 365, 201, 402, 229, 452, 258, 489, 278, 594, 334, 129, 96
org.eclipse.datatools.connectivity.oda.design.ui, 1172, 970, 1324, 1082, 1339, 1045, 1794, 1448, 1849, 1488, 1842, 1467, 1765, 1386, 2009, 1565, 593, 521
org.eclipse.datatools.connectivity.oda.flatfile.ui, 40, 37, 27, 27, 43, 39, 48, 42, 59, 58, 43, 43, 48, 42, 51, 46, 6, 6
org.eclipse.datatools.connectivity.oda.profile, 849, 638, 1017, 774, 1097, 767, 1370, 1018, 1382, 998, 1433, 1033, 1470, 1017, 1649, 1127, 463, 365
org.eclipse.datatools.connectivity.sqm.core, 3676, 2297, 4798, 2942, 5547, 3391, 7826, 4611, 8798, 5203, 9462, 5493, 9409, 5425, 10153, 5771, 3052, 2289
org.eclipse.datatools.connectivity.sqm.core.ui, 1454, 1018, 1727, 1164, 1801, 1245, 2496, 1692, 2725, 1830, 2629, 1848, 2702, 1864, 2842, 1898, 811, 647
org.eclipse.datatools.connectivity.sqm.server.ui, 1254, 847, 1568, 1017, 1696, 1153, 2290, 1509, 2483, 1620, 2387, 1628, 2487, 1673, 2625, 1715, 718, 569
org.eclipse.datatools.connectivity.ui, 4468, 3431, 5274, 3980, 5686, 4310, 8201, 6241, 8649, 6626, 8367, 6448, 8203, 6262, 9156, 6918, 2960, 2496
org.eclipse.datatools.connectivity.ui.dse, 3591, 2748, 4271, 3185, 4692, 3543, 6717, 5081, 6952, 5251, 6705, 5139, 6559, 4955, 7236, 5413, 2344, 1946
org.eclipse.datatools.enablement.hsqldb, 11, 9, 0, 0, 24, 19, 57, 37, 28, 19, 34, 29, 24, 18, 48, 38, 0, 0
org.eclipse.datatools.enablement.hsqldb.ui, 593, 493, 634, 553, 684, 590, 901, 759, 1021, 861, 957, 800, 992, 859, 1068, 891, 305, 282
org.eclipse.datatools.enablement.ibm.db2.iseries, 711, 541, 914, 683, 1020, 735, 1394, 978, 1550, 1094, 1446, 1054, 1521, 1130, 1599, 1102, 438, 377
