yearmonth,ccode,userCount
200811,mu,13
200809,mu,14
200806,mu,1
200808,mu,6
200903,mu,2
200810,mu,11
200901,mv,1
200902,mv,1
200807,mv,1
200808,mv,2
200903,mv,1
200811,mw,1
200809,mw,1
200808,mw,1
200810,mx,976
200901,mx,918
200902,mx,1216
200807,mx,236
200812,mx,946
200811,mx,1008
200804,mx,2
200805,mx,3
200806,mx,12
200809,mx,649
200903,mx,776
200808,mx,442
200808,my,104
200810,my,149
200901,my,162
200902,my,179
200807,my,101
200812,my,168
200811,my,146
200804,my,1
200805,my,2
200806,my,12
200809,my,125
200903,my,104
200903,mz,3
200808,mz,2
200901,mz,4
200902,mz,3
200807,mz,2
200812,mz,3
200811,mz,2
200809,mz,2
200903,nc,3
200808,nc,3
200810,nc,2
200901,nc,5
200902,nc,3
200807,nc,4
200812,nc,3
200811,nc,3
200806,nc,1
200901,ne,1
200903,ng,1
200808,ng,2
200810,ng,6
200902,ng,6
200901,ng,4
200807,ng,2
200812,ng,9
200811,ng,4
200809,ng,3
200903,ni,7
200808,ni,8
200810,ni,8
200902,ni,26
200901,ni,8
200807,ni,4
200812,ni,5
200811,ni,10
200806,ni,1
200809,ni,5
200903,nl,1129
200808,nl,647
200810,nl,1236
200902,nl,1721
200804,nl,29
200901,nl,1569
200807,nl,522
200812,nl,1454
200805,nl,50
200811,nl,1373
200806,nl,68
200809,nl,969
200809,no,499
200903,no,537
200808,no,287
200810,no,664
200902,no,919
200804,no,8
200901,no,766
200807,no,188
200812,no,570
200805,no,20
200811,no,632
200806,no,29
200808,np,1
200902,np,1
200811,np,1
200806,nz,19
200809,nz,189
200903,nz,175
200810,nz,222
200808,nz,154
200804,nz,3
200901,nz,247
200902,nz,266
200807,nz,116
200812,nz,241
200805,nz,2
200811,nz,225
200811,om,8
200809,om,2
200903,om,3
200810,om,4
200808,om,2
200901,om,6
200902,om,5
200807,om,1
200812,om,7
200806,pa,1
200811,pa,14
200809,pa,7
200903,pa,14
200810,pa,15
200808,pa,14
200901,pa,15
200902,pa,20
200807,pa,6
200812,pa,10
200806,pe,6
200811,pe,256
200809,pe,140
200903,pe,111
200810,pe,210
200808,pe,119
200805,pe,1
200901,pe,247
200902,pe,242
200807,pe,73
200812,pe,246
200807,pf,1
200812,pf,1
200811,pf,1
200809,pf,1
200903,pf,1
200810,pf,2
200901,pf,1
200902,pf,1
200901,ph,194
200902,ph,222
200807,ph,87
200812,ph,162
200806,ph,9
200811,ph,158
200809,ph,111
200903,ph,133
200804,ph,1
200808,ph,124
200810,ph,155
200805,ph,7
200901,pk,52
200902,pk,59
200807,pk,12
200812,pk,44
200811,pk,34
200809,pk,16
200903,pk,36
200808,pk,19
200810,pk,19
200805,pl,44
200901,pl,2435
200902,pl,2141
200807,pl,857
200812,pl,2241
200806,pl,98
200811,pl,2243
