yearmonth,editor,executeCount,userCount
200807,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,10754,1262
200807,org.eclipse.dd.examples.pda.editor,5,1
200807,org.eclipse.dd.ipxact.editor.ui.editors.IP-XACTMultiPageEditor,3,2
200807,org.eclipse.debug.ui.NoSourceFoundEditor,41,12
200807,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,3201,1194
200807,org.eclipse.dltk.python.ui.editor.PythonEditor,84,10
200807,org.eclipse.dltk.ruby.ui.editor.RubyEditor,1495,50
200807,org.eclipse.dltk.tcl.ui.editor.TclEditor,424,15
200807,org.eclipse.emf.cdo.ui.CDOEditor,29,1
200807,org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID,1438,148
200807,org.eclipse.emf.ecore.presentation.EcoreEditorID,2426,185
200807,org.eclipse.emf.ecore.presentation.ReflectiveEditorID,905,85
200807,org.eclipse.emf.ecore.sdo.presentation.SDOEditorID,3,1
200807,org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID,905,67
200807,org.eclipse.emf.emfatic.ui.editor.EmfaticEditor,4,1
200807,org.eclipse.emf.jcrm.ntmodel.jcr.nodetype.presentation.NodetypeEditorID,1,1
200807,org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID,8,3
200807,org.eclipse.emf.mapping.ecore2xml.presentation.Ecore2XMLEditorID,11,3
200807,org.eclipse.emf.mapping.xsd2ecore.presentation.XSD2EcoreEditorID,14,7
200807,org.eclipse.epf.authoring.ui.editors.ConfigurationEditor,1,1
200807,org.eclipse.epf.authoring.ui.editors.MethodElementEditor,12,1
200807,org.eclipse.epsilon.dt.exeed.ExeedEditor,10,1
200807,org.eclipse.epsilon.hutn.dt.editor.HutnEditor,10,1
200807,org.eclipse.equinox.p2.authoring.iueditor,4,1
200807,org.eclipse.example.library.presentation.LibraryEditorID,27,2
200807,org.eclipse.gef.TextEditor,12,4
200807,org.eclipse.gmf.codegen.gmfgen.presentation.GMFGenEditorID,28,9
200807,org.eclipse.gmf.ecore.part.EcoreDiagramEditorID,280,48
200807,org.eclipse.gmf.examples.taipan.gmf.editor.part.TaiPanDiagramEditorID,8,3
200807,org.eclipse.gmf.examples.taipan.presentation.TaiPanEditorID,2,1
200807,org.eclipse.gmf.gmfgraph.presentation.GMFGraphEditorID,56,7
200807,org.eclipse.gmf.graphdef.editor.part.GMFGraphDiagramEditorID,2,1
200807,org.eclipse.gmf.mappings.presentation.GMFMapEditorID,662,52
200807,org.eclipse.gmf.sketch.presentation.SketchEditorID,10,1
200807,org.eclipse.gmf.tooldef.presentation.GMFToolEditorID,137,33
200807,org.eclipse.gmf.xpand.XpandEditor,14,3
200807,org.eclipse.gmt.gems.dsml.metamodel2.editor,86,1
200807,org.eclipse.hyades.probekit.editor.internal.presentation.ProbekitEditorID,13,3
200807,org.eclipse.hyades.test.ui.editor.TestSuiteEditorPart,46,10
200807,org.eclipse.hyades.test.ui.forms.editor.TestLogViewer,2,2
200807,org.eclipse.hyades.trace.ui.internal.editors.TRCAgentEditor,4,2
200807,org.eclipse.hyades.trace.ui.internal.editors.TRCMonitorEditor,4,2
200807,org.eclipse.hyades.trace.ui.internal.editors.TRCNodeEditor,2,2
200807,org.eclipse.hyades.trace.ui.internal.editors.TRCProcessEditor,9,4
200807,org.eclipse.ice.editor.ICEEditor,46,1
200807,org.eclipse.imp.runtime.impEditor,39,6
200807,org.eclipse.jdt.debug.ui.SnippetEditor,678,116
200807,org.eclipse.jdt.ui.ClassFileEditor,50972,7177
200807,org.eclipse.jdt.ui.CompilationUnitEditor,1338150,23771
200807,org.eclipse.jdt.ui.DefaultTextEditor,15,6
200807,org.eclipse.jdt.ui.JARDescEditor,109,42
200807,org.eclipse.jdt.ui.PropertiesFileEditor,28175,4450
200807,org.eclipse.jem.beaninfo.OverrideEditor,7,1
200807,org.eclipse.jet.editor.JETEditor,173,9
200807,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,2914,555
200807,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,2976,492
200807,org.eclipse.jst.jsp.core.cssjspsource.source,86,9
200807,org.eclipse.jst.jsp.core.jspsource.source,130019,6063
200807,org.eclipse.jst.pagedesigner.PageDesignerEditor,6167,546
200807,org.eclipse.linuxtools.changelog.core.editor6,82,4
200807,org.eclipse.linuxtools.rpm.ui.editor.SpecfileEditor,3,1
