yearmonth,command,executeCount,userCount
200804,org.eclipse.team.svn.ui.command.ReplaceWithRevisionCommand,2,1
200804,org.eclipse.team.svn.ui.command.RevertCommand,14,6
200804,org.eclipse.team.svn.ui.command.SetPropertyCommand,4,2
200804,org.eclipse.team.svn.ui.command.ShareProjectsCommand,14,5
200804,org.eclipse.team.svn.ui.command.ShowAnnotationCommand,10,4
200804,org.eclipse.team.svn.ui.command.ShowResourceHistoryCommand,60,17
200804,org.eclipse.team.svn.ui.command.SwitchCommand,12,4
200804,org.eclipse.team.svn.ui.command.SynchronizeCommand,159,28
200804,org.eclipse.team.svn.ui.command.TagCommand,2,1
200804,org.eclipse.team.svn.ui.command.UpdateCommand,161,32
200804,org.eclipse.team.svn.ui.repository.RepositoryPerspective,1,1
200804,org.eclipse.team.ui.applyPatch,16,10
200804,org.eclipse.team.ui.synchronizeAll,32,16
200804,org.eclipse.team.ui.synchronizeLast,238,54
200804,org.eclipse.team.ui.TeamSynchronizingPerspective,2,2
200804,org.eclipse.trace.ui.javaApplicationShortcut.profile,7,3
200804,org.eclipse.trace.ui.jUnitShortcut.profile,1,1
200804,org.eclipse.trace.ui.runtimeWorkbenchShortcut.profile,1,1
200804,org.eclipse.ui.cheatsheets.openCheatSheet,5,2
200804,org.eclipse.ui.console.ConsoleView,33,32
200804,org.eclipse.ui.edit.addBookmark,1,1
200804,org.eclipse.ui.edit.addTask,3,2
200804,org.eclipse.ui.edit.copy,26361,598
200804,org.eclipse.ui.edit.cut,5418,451
200804,org.eclipse.ui.edit.delete,52245,611
200804,org.eclipse.ui.edit.findIncremental,1387,44
200804,org.eclipse.ui.edit.findIncrementalReverse,92,15
200804,org.eclipse.ui.edit.findNext,2294,47
200804,org.eclipse.ui.edit.findPrevious,598,18
200804,org.eclipse.ui.edit.findReplace,3645,365
200804,org.eclipse.ui.edit.move,10,5
200804,org.eclipse.ui.edit.paste,37282,654
200804,org.eclipse.ui.edit.redo,1827,145
200804,org.eclipse.ui.edit.rename,318,95
200804,org.eclipse.ui.edit.selectAll,1041,243
200804,org.eclipse.ui.edit.text.clear.mark,41,2
200804,org.eclipse.ui.edit.text.contentAssist.contextInformation,79,33
200804,org.eclipse.ui.edit.text.contentAssist.proposals,22729,455
200804,org.eclipse.ui.edit.text.copyLineDown,497,44
200804,org.eclipse.ui.edit.text.copyLineUp,113,22
200804,org.eclipse.ui.edit.text.cut.line.to.end,832,13
200804,org.eclipse.ui.edit.text.delete.line,7788,183
200804,org.eclipse.ui.edit.text.delete.line.to.end,4,3
200804,org.eclipse.ui.edit.text.deleteNext,523,7
200804,org.eclipse.ui.edit.text.deleteNextWord,1064,50
200804,org.eclipse.ui.edit.text.deletePreviousWord,2471,71
200804,org.eclipse.ui.edit.text.delimiter.unix,5,2
200804,org.eclipse.ui.edit.text.folding.collapse,3,1
200804,org.eclipse.ui.edit.text.folding.collapse_all,6,4
200804,org.eclipse.ui.edit.text.folding.expand,2,1
200804,org.eclipse.ui.edit.text.folding.expand_all,1,1
200804,org.eclipse.ui.edit.text.folding.restore,1,1
200804,org.eclipse.ui.edit.text.folding.toggle,8,4
200804,org.eclipse.ui.edit.text.goto.columnNext,1865,10
200804,org.eclipse.ui.edit.text.goto.columnPrevious,1342,7
200804,org.eclipse.ui.edit.text.goto.line,240,75
200804,org.eclipse.ui.edit.text.goto.lineDown,1166,8
200804,org.eclipse.ui.edit.text.goto.lineEnd,23946,458
200804,org.eclipse.ui.edit.text.goto.lineStart,19652,415
200804,org.eclipse.ui.edit.text.goto.lineUp,1051,7
200804,org.eclipse.ui.edit.text.goto.pageDown,218,6
200804,org.eclipse.ui.edit.text.goto.pageUp,130,5
200804,org.eclipse.ui.edit.text.goto.textEnd,610,112
200804,org.eclipse.ui.edit.text.goto.textStart,1180,144
200804,org.eclipse.ui.edit.text.goto.wordNext,20730,220
200804,org.eclipse.ui.edit.text.goto.wordPrevious,15260,214
200804,org.eclipse.ui.edit.text.gotoLastEditPosition,151,43
200804,org.eclipse.ui.edit.text.hippieCompletion,84,20
200804,org.eclipse.ui.edit.text.join.lines,26,5
200804,org.eclipse.ui.edit.text.lowerCase,3,3
200804,org.eclipse.ui.edit.text.moveLineDown,2277,80
200804,org.eclipse.ui.edit.text.moveLineUp,2750,83
200804,org.eclipse.ui.edit.text.openLocalFile,72,37
200804,org.eclipse.ui.edit.text.recenter,7,3
200804,org.eclipse.ui.edit.text.scroll.lineDown,1054,77
200804,org.eclipse.ui.edit.text.scroll.lineUp,908,64
200804,org.eclipse.ui.edit.text.select.lineEnd,4566,336
200804,org.eclipse.ui.edit.text.select.lineStart,3401,272
200804,org.eclipse.ui.edit.text.select.textEnd,1,1
200804,org.eclipse.ui.edit.text.select.textStart,1,1
200804,org.eclipse.ui.edit.text.select.wordNext,10463,190
200804,org.eclipse.ui.edit.text.select.wordPrevious,11721,190
200804,org.eclipse.ui.edit.text.set.mark,78,10
200804,org.eclipse.ui.edit.text.shiftLeft,40,9
200804,org.eclipse.ui.edit.text.shiftRight,1,1
200804,org.eclipse.ui.edit.text.showInformation,337,135
200804,org.eclipse.ui.edit.text.smartEnter,348,88
200804,org.eclipse.ui.edit.text.smartEnterInverse,79,5
200804,org.eclipse.ui.edit.text.swap.mark,2,2
200804,org.eclipse.ui.edit.text.toggleInsertMode,3,2
200804,org.eclipse.ui.edit.text.toggleOverwrite,207,63
200804,org.eclipse.ui.edit.text.toggleShowSelectedElementOnly,21,4
200804,org.eclipse.ui.edit.text.toggleShowWhitespaceCharacters,5,3
200804,org.eclipse.ui.edit.text.upperCase,29,10
200804,org.eclipse.ui.edit.undo,15375,493
200804,org.eclipse.ui.editors.lineNumberToggle,40,22
200804,org.eclipse.ui.editors.revisions.id.toggle,1,1
200804,org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations,36,13
200804,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,337,36
200804,org.eclipse.ui.file.close,2671,159
200804,org.eclipse.ui.file.closeAll,418,102
200804,org.eclipse.ui.file.exit,163,80
200804,org.eclipse.ui.file.export,509,63
200804,org.eclipse.ui.file.import,778,196
200804,org.eclipse.ui.file.newQuickMenu,6,3
200804,org.eclipse.ui.file.print,34,21
200804,org.eclipse.ui.file.properties,1597,348
200804,org.eclipse.ui.file.refresh,2255,373
200804,org.eclipse.ui.file.restartWorkbench,23,19
200804,org.eclipse.ui.file.revert,28,14
200804,org.eclipse.ui.file.save,56038,647
200804,org.eclipse.ui.file.saveAll,538,64
200804,org.eclipse.ui.file.saveAs,21,15
200804,org.eclipse.ui.help.aboutAction,282,177
200804,org.eclipse.ui.help.dynamicHelp,1,1
200804,org.eclipse.ui.help.helpContents,82,59
200804,org.eclipse.ui.help.helpSearch,14,12
200804,org.eclipse.ui.help.quickStartAction,19,18
200804,org.eclipse.ui.help.tipsAndTricksAction,1,1
200804,org.eclipse.ui.ide.configureFilters,59,27
200804,org.eclipse.ui.ide.OpenMarkersView,6,5
200804,org.eclipse.ui.navigate.back,1,1
200804,org.eclipse.ui.navigate.backwardHistory,3188,203
200804,org.eclipse.ui.navigate.collapseAll,342,74
200804,org.eclipse.ui.navigate.forwardHistory,455,68
200804,org.eclipse.ui.navigate.goToResource,5,3
200804,org.eclipse.ui.navigate.linkWithEditor,323,103
200804,org.eclipse.ui.navigate.next,2177,91
200804,org.eclipse.ui.navigate.openResource,1910,166
200804,org.eclipse.ui.navigate.previous,191,32
200804,org.eclipse.ui.navigate.selectWorkingSets,3,3
200804,org.eclipse.ui.navigate.showInQuickMenu,71,14
200804,org.eclipse.ui.navigator.ProjectExplorer,5,5
200804,org.eclipse.ui.newWizard,799,271
200804,org.eclipse.ui.perspectives.showPerspective,697,218
200804,org.eclipse.ui.project.buildAll,1053,39
200804,org.eclipse.ui.project.buildAutomatically,63,31
200804,org.eclipse.ui.project.buildProject,344,27
200804,org.eclipse.ui.project.cleanAction,379,152
200804,org.eclipse.ui.project.closeProject,309,117
200804,org.eclipse.ui.project.closeUnrelatedProjects,4,2
200804,org.eclipse.ui.project.openProject,203,82
200804,org.eclipse.ui.project.properties,124,42
200804,org.eclipse.ui.query.import,1,1
200804,org.eclipse.ui.resourcePerspective,4,4
200804,org.eclipse.ui.task.export,1,1
200804,org.eclipse.ui.task.import,2,2
200804,org.eclipse.ui.ToggleCoolbarAction,59,12
200804,org.eclipse.ui.update.findAndInstallUpdates,373,167
200804,org.eclipse.ui.update.manageConfiguration,99,64
200804,org.eclipse.ui.views.ContentOutline,22,19
200804,org.eclipse.ui.views.ProblemView,13,10
200804,org.eclipse.ui.views.ProgressView,4,4
200804,org.eclipse.ui.views.ResourceNavigator,21,18
200804,org.eclipse.ui.views.showView,742,139
200804,org.eclipse.ui.views.TaskList,10,9
200804,org.eclipse.ui.window.activateEditor,45,15
200804,org.eclipse.ui.window.closeAllPerspectives,3,3
200804,org.eclipse.ui.window.closePerspective,118,60
200804,org.eclipse.ui.window.customizePerspective,40,33
200804,org.eclipse.ui.window.lockToolBar,18,9
200804,org.eclipse.ui.window.maximizePart,362,45
200804,org.eclipse.ui.window.newEditor,13,10
200804,org.eclipse.ui.window.newWindow,11,7
200804,org.eclipse.ui.window.nextEditor,1563,45
200804,org.eclipse.ui.window.nextPerspective,99,14
200804,org.eclipse.ui.window.nextView,60,6
200804,org.eclipse.ui.window.openEditorDropDown,170,21
