command, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors, 256, 165, 331, 241, 407, 292, 728, 510, 887, 607, 927, 627, 740, 515, 854, 595, 259, 183
org.eclipse.jdt.ui.edit.text.java.change.type, 12, 7, 0, 0, 0, 0, 10, 10, 12, 9, 15, 13, 9, 9, 16, 10, 0, 0
org.eclipse.jdt.ui.edit.text.java.clean.up, 541, 200, 545, 194, 626, 255, 1014, 383, 947, 434, 881, 389, 978, 429, 1158, 458, 416, 148
org.eclipse.jdt.ui.edit.text.java.copy.qualified.name, 525, 291, 714, 440, 918, 566, 1526, 995, 1685, 1117, 1825, 1121, 1716, 1050, 2017, 1218, 559, 372
org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals, 37933, 4721, 43292, 5624, 50190, 6917, 68452, 9157, 74378, 10075, 72438, 10079, 70695, 10033, 79009, 10930, 25103, 4903
org.eclipse.jdt.ui.edit.text.java.create.delegate.methods, 60, 37, 64, 48, 82, 72, 210, 140, 228, 179, 194, 137, 208, 155, 185, 143, 22, 18
org.eclipse.jdt.ui.edit.text.java.create.getter.setter, 6060, 2831, 8663, 4087, 11020, 5160, 16482, 7426, 18168, 8578, 19401, 8989, 17831, 8533, 20060, 9409, 6538, 3652
org.eclipse.jdt.ui.edit.text.java.externalize.strings, 31, 26, 83, 50, 57, 38, 164, 84, 129, 81, 191, 115, 165, 66, 180, 101, 29, 22
org.eclipse.jdt.ui.edit.text.java.extract.class, 66, 41, 56, 39, 79, 57, 168, 121, 173, 135, 232, 159, 193, 137, 212, 154, 29, 24
org.eclipse.jdt.ui.edit.text.java.extract.constant, 306, 129, 280, 149, 422, 178, 740, 287, 792, 333, 777, 310, 865, 288, 978, 395, 153, 78
org.eclipse.jdt.ui.edit.text.java.extract.interface, 133, 86, 153, 100, 160, 102, 238, 162, 398, 237, 267, 186, 303, 198, 334, 228, 72, 46
org.eclipse.jdt.ui.edit.text.java.extract.local.variable, 1738, 523, 1875, 640, 2226, 752, 2831, 975, 3044, 1051, 3090, 1073, 2927, 1028, 3495, 1195, 973, 452
org.eclipse.jdt.ui.edit.text.java.extract.method, 1202, 539, 1541, 697, 1746, 795, 2484, 1150, 2610, 1222, 2636, 1263, 2731, 1314, 2945, 1403, 868, 465
org.eclipse.jdt.ui.edit.text.java.extract.superclass, 22, 17, 21, 17, 38, 27, 80, 49, 110, 85, 81, 69, 64, 52, 93, 76, 15, 11
org.eclipse.jdt.ui.edit.text.java.format, 50138, 4779, 60010, 5933, 73951, 7774, 103727, 10735, 115440, 12221, 120314, 12381, 112939, 12048, 126685, 13158, 42490, 6116
org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields, 577, 373, 882, 544, 1196, 725, 2235, 1256, 2498, 1387, 2419, 1356, 2414, 1328, 2618, 1437, 745, 482
org.eclipse.jdt.ui.edit.text.java.generate.hashcode.equals, 103, 60, 161, 92, 212, 109, 283, 166, 430, 253, 356, 219, 361, 213, 410, 225, 102, 63
org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket, 507, 160, 707, 186, 712, 227, 1447, 377, 1815, 434, 1464, 481, 1329, 425, 1532, 490, 553, 171
org.eclipse.jdt.ui.edit.text.java.goto.next.member, 426, 198, 1140, 256, 1085, 347, 2252, 648, 2192, 666, 2301, 757, 2069, 663, 2625, 772, 662, 231
org.eclipse.jdt.ui.edit.text.java.goto.previous.member, 210, 87, 528, 120, 769, 185, 1486, 324, 1497, 371, 1399, 395, 1494, 350, 1540, 410, 358, 121
org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb, 628, 252, 367, 210, 466, 250, 657, 404, 758, 446, 688, 426, 758, 396, 790, 483, 169, 98
org.eclipse.jdt.ui.edit.text.java.indent, 4160, 1020, 4945, 1336, 6941, 1940, 11818, 3103, 13538, 3581, 12771, 3674, 12628, 3538, 15396, 3992, 4953, 1595
org.eclipse.jdt.ui.edit.text.java.infer.type.arguments, 18, 14, 55, 48, 59, 43, 108, 90, 173, 139, 190, 132, 110, 91, 147, 123, 17, 16
org.eclipse.jdt.ui.edit.text.java.inline, 384, 150, 456, 194, 531, 220, 847, 368, 929, 386, 1040, 393, 989, 413, 1070, 449, 251, 118
org.eclipse.jdt.ui.edit.text.java.introduce.indirection, 13, 8, 0, 0, 13, 6, 11, 6, 0, 0, 7, 6, 0, 0, 18, 16, 0, 0
org.eclipse.jdt.ui.edit.text.java.introduce.parameter, 30, 15, 27, 17, 13, 11, 33, 21, 9, 8, 12, 8, 27, 20, 45, 24, 0, 0
org.eclipse.jdt.ui.edit.text.java.introduce.parameter.object, 9, 8, 9, 7, 9, 8, 14, 11, 11, 10, 9, 8, 11, 9, 28, 24, 0, 0
org.eclipse.jdt.ui.edit.text.java.modify.method.parameters, 585, 208, 552, 260, 621, 304, 964, 458, 1074, 523, 1109, 557, 1089, 505, 1123, 574, 308, 176
org.eclipse.jdt.ui.edit.text.java.move.element, 1346, 696, 1802, 881, 2233, 1059, 2955, 1500, 3492, 1684, 3623, 1748, 3391, 1699, 3952, 1839, 974, 566
org.eclipse.jdt.ui.edit.text.java.move.inner.to.top.level, 49, 24, 31, 23, 57, 38, 77, 47, 154, 85, 109, 67, 155, 79, 102, 60, 35, 18
org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy, 4709, 1285, 6076, 1630, 7963, 2124, 11505, 2889, 12826, 3232, 14184, 3534, 14046, 3561, 16054, 4054, 4623, 1692
org.eclipse.jdt.ui.edit.text.java.open.editor, 55368, 5782, 72804, 7765, 89410, 10015, 127538, 13684, 142268, 15438, 153377, 16429, 156610, 16758, 176353, 18527, 55982, 9278
org.eclipse.jdt.ui.edit.text.java.open.external.javadoc, 222, 106, 271, 125, 404, 157, 561, 274, 727, 329, 789, 321, 764, 347, 755, 372, 201, 113
org.eclipse.jdt.ui.edit.text.java.open.hierarchy, 5191, 1413, 6519, 1896, 7853, 2339, 11095, 3196, 12246, 3627, 13026, 3787, 12960, 3837, 15074, 4289, 4832, 1747
org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy, 3456, 1492, 5049, 1966, 5579, 2375, 7919, 3407, 8693, 3806, 8221, 3953, 8785, 3883, 9320, 4241, 2666, 1543
org.eclipse.jdt.ui.edit.text.java.organize.imports, 33443, 5564, 43010, 7060, 52979, 8916, 74722, 11951, 83070, 13462, 86041, 13909, 83257, 13930, 93011, 15094, 30894, 7146
org.eclipse.jdt.ui.edit.text.java.override.methods, 1454, 783, 1846, 1027, 2333, 1304, 3353, 1864, 3410, 2002, 3635, 2101, 3546, 2064, 3803, 2187, 1224, 786
org.eclipse.jdt.ui.edit.text.java.promote.local.variable, 113, 42, 125, 60, 153, 67, 172, 88, 317, 159, 302, 127, 241, 125, 325, 158, 38, 21
org.eclipse.jdt.ui.edit.text.java.pull.up, 69, 48, 116, 75, 105, 77, 196, 117, 156, 123, 200, 129, 211, 154, 206, 137, 47, 35
org.eclipse.jdt.ui.edit.text.java.push.down, 16, 12, 14, 10, 9, 6, 28, 15, 21, 16, 34, 22, 49, 31, 27, 21, 7, 7
org.eclipse.jdt.ui.edit.text.java.quick.format, 28, 9, 57, 20, 43, 28, 73, 41, 177, 68, 95, 53, 78, 43, 108, 68, 32, 23
org.eclipse.jdt.ui.edit.text.java.refactor.quickMenu, 655, 255, 867, 353, 868, 380, 1339, 539, 1400, 630, 1458, 639, 1476, 588, 1751, 661, 408, 209
org.eclipse.jdt.ui.edit.text.java.remove.block.comment, 159, 88, 266, 140, 435, 217, 635, 307, 738, 385, 707, 374, 866, 414, 867, 475, 225, 134
org.eclipse.jdt.ui.edit.text.java.rename.element, 18376, 5151, 24410, 6870, 29454, 8682, 44508, 12599, 51706, 14713, 52880, 15011, 51997, 14821, 56206, 16248, 17836, 6528
org.eclipse.jdt.ui.edit.text.java.search.declarations.in.hierarchy, 6, 6, 12, 8, 0, 0, 18, 10, 28, 18, 23, 11, 12, 10, 15, 10, 0, 0
org.eclipse.jdt.ui.edit.text.java.search.declarations.in.project, 45, 29, 66, 42, 142, 81, 246, 136, 279, 152, 264, 166, 304, 178, 307, 157, 52, 41
