editor, executeCount200804, userCount200804, executeCount200805, userCount200805, executeCount200806, userCount200806, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901
org.eclipse.wst.jsdt.ui.CompilationUnitEditor, 864, 48, 1766, 90, 1183, 80, 25674, 1989, 35986, 2633, 43381, 3243, 59288, 4404, 67141, 5009, 77930, 5556, 75394, 5656
org.eclipse.wst.server.ui.editor, 93, 22, 335, 65, 132, 50, 4146, 1315, 5107, 1682, 6230, 1966, 9025, 2717, 10065, 3063, 10510, 3109, 9802, 2996
org.eclipse.wst.wsdl.ui.internal.WSDLEditor, 30, 4, 429, 20, 265, 21, 2338, 316, 3838, 490, 4401, 550, 5183, 735, 6568, 809, 6803, 889, 6819, 874
org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart, 5145, 274, 11786, 537, 9783, 491, 146915, 11011, 201009, 14639, 249778, 18193, 342272, 24425, 379549, 27322, 403552, 28709, 394762, 28766
org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor, 92, 16, 859, 54, 769, 47, 5844, 625, 8269, 859, 8959, 1002, 11690, 1302, 13352, 1409, 13607, 1523, 14416, 1483
org.eclipse.wst.xsl.ui.XSLEditor, 11, 1, 79, 6, 32, 4, 623, 45, 1066, 73, 1403, 94, 1635, 97, 1869, 88, 1221, 73, 1364, 86
org.eclipse.cdt.ui.editor.asm.AsmEditor, 0, 0, 7, 1, 65, 2, 591, 73, 1062, 109, 1614, 151, 2238, 206, 2388, 275, 3233, 278, 2154, 276
org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor, 0, 0, 3, 1, 0, 0, 124, 19, 64, 19, 82, 19, 100, 21, 127, 17, 30, 9, 58, 11
org.eclipse.dd.ipxact.editor.ui.editors.IP-XACTMultiPageEditor, 0, 0, 2, 1, 14, 1, 3, 2, 20, 2, 18, 6, 9, 6, 11, 3, 7, 5, 135, 5
org.eclipse.debug.ui.NoSourceFoundEditor, 0, 0, 9, 2, 15, 2, 41, 12, 39, 12, 37, 8, 38, 12, 63, 23, 69, 27, 18, 10
org.eclipse.emf.ecore.presentation.XMLReflectiveEditorID, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 5, 2, 0, 0
org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID, 0, 0, 107, 5, 46, 7, 905, 67, 658, 60, 630, 60, 1265, 81, 1280, 107, 1183, 97, 996, 77
org.eclipse.gef.TextEditor, 0, 0, 3, 1, 0, 0, 12, 4, 4, 2, 2, 1, 5, 4, 2, 2, 3, 2, 1, 1
org.eclipse.gmf.codegen.gmfgen.presentation.GMFGenEditorID, 0, 0, 2, 1, 2, 1, 28, 9, 5, 2, 70, 6, 109, 17, 173, 34, 245, 39, 177, 36
org.eclipse.gmf.ecore.part.EcoreDiagramEditorID, 0, 0, 84, 9, 21, 4, 280, 48, 196, 21, 273, 37, 419, 52, 798, 80, 562, 72, 727, 73
org.eclipse.hyades.logging.adapter.ui.internal.presentation.AdaptorEditorID, 0, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 59, 2, 0, 0, 0, 0
org.eclipse.hyades.test.ui.editor.TestSuiteEditorPart, 0, 0, 4, 1, 0, 0, 46, 10, 19, 5, 46, 8, 48, 7, 205, 16, 46, 13, 70, 15
org.eclipse.imp.runtime.impEditor, 0, 0, 2, 1, 0, 0, 39, 6, 101, 5, 143, 5, 165, 10, 313, 6, 971, 18, 386, 19
org.eclipse.jdt.ui.JARDescEditor, 0, 0, 18, 5, 24, 3, 109, 42, 170, 65, 169, 57, 258, 95, 318, 109, 260, 109, 298, 124
org.eclipse.jet.editor.JETEditor, 0, 0, 10, 1, 4, 2, 173, 9, 48, 8, 106, 7, 123, 12, 316, 11, 163, 6, 134, 6
org.eclipse.m2m.qvt.oml.trace.editor, 0, 0, 3, 1, 0, 0, 15, 2, 5, 2, 2, 1, 2, 1, 0, 0, 1, 1, 0, 0
org.eclipse.mat.ui.editors.HeapEditor, 0, 0, 5, 1, 0, 0, 53, 10, 94, 13, 28, 9, 34, 15, 162, 28, 142, 26, 153, 22
org.eclipse.pde.ui.ctxHelpEditor, 0, 0, 9, 4, 0, 0, 19, 12, 50, 21, 33, 15, 35, 23, 54, 36, 50, 28, 38, 23
org.eclipse.pde.ui.sampleEditor, 0, 0, 2, 1, 5, 1, 13, 10, 14, 11, 35, 16, 66, 32, 77, 43, 54, 26, 98, 41
org.eclipse.pde.ui.simpleCheatSheetEditor, 0, 0, 2, 1, 2, 1, 12, 5, 57, 6, 82, 14, 31, 9, 14, 4, 45, 7, 63, 16
org.eclipse.stp.bpmn.diagram.part.BpmnDiagramEditorID, 0, 0, 18, 1, 0, 0, 59, 13, 78, 15, 129, 26, 252, 37, 207, 33, 232, 28, 196, 33
org.eclipse.stp.im.presentation.ImEditorID, 0, 0, 146, 1, 16, 1, 88, 2, 0, 0, 2, 1, 0, 0, 0, 0, 5, 3, 0, 0
org.eclipse.stp.sca.diagram.part.ScaDiagramEditorID, 0, 0, 12, 2, 10, 1, 217, 16, 192, 19, 50, 7, 71, 9, 63, 15, 92, 13, 70, 12
org.eclipse.uml2.diagram.component.part.UMLDiagramEditorID, 0, 0, 6, 4, 6, 2, 47, 13, 50, 14, 71, 15, 134, 20, 132, 31, 115, 31, 188, 28
org.eclipse.uml2.diagram.profile.part.UMLDiagramEditorID, 0, 0, 2, 1, 0, 0, 53, 10, 22, 4, 24, 6, 26, 9, 13, 9, 114, 14, 70, 15
org.eclipse.uml2.diagram.statemachine.part.UMLDiagramEditorID, 0, 0, 23, 3, 3, 1, 119, 10, 12, 6, 174, 15, 70, 23, 190, 21, 158, 22, 130, 24
org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID, 0, 0, 20, 6, 18, 4, 200, 45, 210, 38, 353, 55, 473, 83, 751, 85, 505, 96, 366, 85
org.eclipse.wst.javascript.ui.internal.editor.JSMultiPageEditorPart, 0, 0, 2, 1, 1, 1, 43, 2, 10, 2, 18, 3, 15, 3, 41, 2, 7, 2, 4, 3
org.eclipse.wst.sse.ui.StructuredTextEditor, 0, 0, 2, 1, 0, 0, 13, 5, 72, 8, 64, 9, 183, 12, 545, 14, 116, 14, 82, 9
org.eclipse.xsd.presentation.XSDEditorID, 0, 0, 4, 1, 16, 2, 147, 28, 68, 14, 143, 16, 125, 22, 107, 19, 193, 30, 179, 34
org.eclipse.buckminster.ui.editor.QueryEditor, 0, 0, 0, 0, 3, 1, 13, 4, 49, 10, 37, 6, 41, 6, 49, 7, 95, 7, 29, 5
org.eclipse.buckminster.ui.editors.CSPECEditor, 0, 0, 0, 0, 11, 2, 74, 9, 18, 7, 25, 9, 66, 14, 61, 15, 31, 8, 37, 13
org.eclipse.buckminster.ui.editors.CSPEXEditor, 0, 0, 0, 0, 4, 1, 74, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.buckminster.ui.editors.RMAPEditor, 0, 0, 0, 0, 6, 1, 16, 5, 6, 1, 5, 2, 10, 2, 2, 1, 48, 3, 4, 1
org.eclipse.cosmos.rm.smlif.internal.editor.smlifEditor, 0, 0, 0, 0, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.dltk.tcl.ui.editor.TclEditor, 0, 0, 0, 0, 10, 1, 424, 15, 701, 17, 915, 19, 1624, 36, 1158, 40, 1372, 34, 995, 37
org.eclipse.emf.compare.examples.export.library.presentation.LibraryEditorID, 0, 0, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID, 0, 0, 0, 0, 7, 1, 8, 3, 7, 4, 6, 5, 0, 0, 5, 2, 14, 5, 9, 6
org.eclipse.emf.mapping.xsd2ecore.presentation.XSD2EcoreEditorID, 0, 0, 0, 0, 1, 1, 14, 7, 10, 4, 13, 5, 27, 6, 34, 8, 19, 8, 17, 8
org.eclipse.epf.authoring.ui.editors.MethodElementEditor, 0, 0, 0, 0, 2, 1, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.mtj.ui.editor.JadEditor, 0, 0, 0, 0, 45, 2, 7, 3, 86, 12, 44, 6, 214, 38, 636, 94, 648, 99, 896, 132
org.eclipse.office.gmf.editor.part.OfficeDiagramEditorID, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.pde.ui.compositeCheatSheetEditor, 0, 0, 0, 0, 4, 1, 0, 0, 3, 2, 3, 2, 16, 1, 1, 1, 1, 1, 5, 4
org.eclipse.stp.policy.wtp.editor.OperationPolicyMultiPageEditor, 0, 0, 0, 0, 4, 1, 25, 2, 3, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0
org.eclipse.stp.sca.presentation.ScaEditorID, 0, 0, 0, 0, 5, 2, 157, 14, 237, 17, 20, 7, 82, 11, 143, 15, 140, 15, 47, 9
org.eclipse.ui.forms.examples.base-editor, 0, 0, 0, 0, 5, 1, 0, 0, 8, 2, 3, 2, 0, 0, 28, 2, 2, 2, 0, 0
org.eclipse.ui.forms.examples.single-header-editor, 0, 0, 0, 0, 8, 1, 0, 0, 5, 2, 0, 0, 0, 0, 7, 1, 1, 1, 0, 0
org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID, 0, 0, 0, 0, 3, 3, 175, 34, 184, 32, 148, 27, 242, 58, 395, 57, 227, 65, 227, 70
org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 8, 1, 0, 0, 7, 1, 3, 2
org.eclipse.birt.report.designer.ui.editors.IDEReportDocumentEditor, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 3, 2, 3, 2, 0, 0
org.eclipse.birt.report.designer.ui.editors.TemplateEditor, 0, 0, 0, 0, 0, 0, 80, 13, 186, 14, 585, 20, 96, 14, 46, 14, 107, 17, 95, 20
org.eclipse.cdt.debug.ui.disassemblyEditor, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 2, 2, 2, 12, 3, 4, 3, 0, 0
org.eclipse.datatools.sqltools.sqlbuilder, 0, 0, 0, 0, 0, 0, 34, 13, 44, 18, 43, 11, 59, 13, 53, 19, 35, 17, 45, 17
org.eclipse.dd.examples.pda.editor, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.dltk.python.ui.editor.PythonEditor, 0, 0, 0, 0, 0, 0, 84, 10, 200, 9, 380, 15, 805, 17, 737, 11, 493, 18, 371, 14
org.eclipse.emf.cdo.ui.CDOEditor, 0, 0, 0, 0, 0, 0, 29, 1, 0, 0, 3, 1, 14, 1, 1, 1, 1, 1, 0, 0
org.eclipse.emf.ecore.sdo.presentation.SDOEditorID, 0, 0, 0, 0, 0, 0, 3, 1, 2, 1, 12, 7, 2, 1, 1, 1, 2, 1, 17, 7
org.eclipse.emf.emfatic.ui.editor.EmfaticEditor, 0, 0, 0, 0, 0, 0, 4, 1, 2, 1, 2, 1, 39, 2, 73, 3, 101, 3, 97, 5
org.eclipse.emf.jcrm.ntmodel.jcr.nodetype.presentation.NodetypeEditorID, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.emf.mapping.ecore2xml.presentation.Ecore2XMLEditorID, 0, 0, 0, 0, 0, 0, 11, 3, 11, 5, 11, 5, 5, 4, 13, 7, 24, 12, 12, 7
org.eclipse.epf.authoring.ui.editors.ConfigurationEditor, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.epsilon.dt.exeed.ExeedEditor, 0, 0, 0, 0, 0, 0, 10, 1, 44, 1, 28, 2, 42, 1, 15, 1, 6, 2, 0, 0
org.eclipse.epsilon.hutn.dt.editor.HutnEditor, 0, 0, 0, 0, 0, 0, 10, 1, 52, 1, 3, 1, 49, 1, 60, 2, 3, 1, 9, 1
org.eclipse.equinox.p2.authoring.iueditor, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.example.library.presentation.LibraryEditorID, 0, 0, 0, 0, 0, 0, 27, 2, 10, 1, 4, 2, 0, 0, 0, 0, 12, 2, 0, 0
org.eclipse.gmf.examples.taipan.gmf.editor.part.TaiPanDiagramEditorID, 0, 0, 0, 0, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 14, 1
org.eclipse.gmf.examples.taipan.presentation.TaiPanEditorID, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.gmf.graphdef.editor.part.GMFGraphDiagramEditorID, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 1
org.eclipse.gmf.sketch.presentation.SketchEditorID, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.eclipse.gmt.gems.dsml.metamodel2.editor, 0, 0, 0, 0, 0, 0, 86, 1, 0, 0, 0, 0, 112, 3, 30, 1, 131, 1, 10, 2
org.eclipse.hyades.probekit.editor.internal.presentation.ProbekitEditorID, 0, 0, 0, 0, 0, 0, 13, 3, 0, 0, 1, 1, 0, 0, 17, 2, 26, 2, 2, 1
org.eclipse.hyades.test.ui.forms.editor.TestLogViewer, 0, 0, 0, 0, 0, 0, 2, 2, 3, 1, 0, 0, 2, 1, 32, 7, 1, 1, 7, 2
org.eclipse.hyades.trace.ui.internal.editors.TRCAgentEditor, 0, 0, 0, 0, 0, 0, 4, 2, 2, 2, 1, 1, 4, 3, 6, 4, 14, 3, 15, 5
org.eclipse.hyades.trace.ui.internal.editors.TRCMonitorEditor, 0, 0, 0, 0, 0, 0, 4, 2, 2, 1, 3, 2, 0, 0, 1, 1, 0, 0, 6, 4
org.eclipse.hyades.trace.ui.internal.editors.TRCNodeEditor, 0, 0, 0, 0, 0, 0, 2, 2, 4, 2, 2, 2, 1, 1, 2, 2, 0, 0, 2, 2
org.eclipse.hyades.trace.ui.internal.editors.TRCProcessEditor, 0, 0, 0, 0, 0, 0, 9, 4, 3, 2, 1, 1, 8, 4, 8, 3, 7, 2, 19, 4
org.eclipse.ice.editor.ICEEditor, 0, 0, 0, 0, 0, 0, 46, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
org.eclipse.jdt.ui.DefaultTextEditor, 0, 0, 0, 0, 0, 0, 15, 6, 18, 5, 16, 5, 39, 5, 30, 13, 56, 14, 69, 15
