yearmonth,view,executeCount,userCount
200805,org.eclipse.rse.terminals.ui.view.TerminalView,6,1
200805,org.eclipse.rse.ui.view.scratchpad.SystemScratchpadViewPart,2,2
200805,org.eclipse.rse.ui.view.systemTableView,8,6
200805,org.eclipse.rse.ui.view.systemView,54,9
200805,org.eclipse.rse.ui.view.teamView,5,4
200805,org.eclipse.search.ui.views.SearchView,7258,467
200805,org.eclipse.swt.win32.extension.examples.view,2,1
200805,org.eclipse.team.ccvs.ui.EditorsView,2,2
200805,org.eclipse.team.ccvs.ui.RepositoriesView,351,101
200805,org.eclipse.team.svn.ui.annotate.AnnotateView,4,1
200805,org.eclipse.team.svn.ui.properties.PropertiesView,14,10
200805,org.eclipse.team.svn.ui.repository.browser.RepositoryBrowser,31,16
200805,org.eclipse.team.svn.ui.repository.RepositoriesView,154,57
200805,org.eclipse.team.sync.views.SynchronizeView,4774,287
200805,org.eclipse.team.ui.GenericHistoryView,1594,273
200805,org.eclipse.tptp.platform.analysis.core.ui.views.ResultsFrameView,23,4
200805,org.eclipse.tptp.platform.log.views.internal.views.LogViewer,1,1
200805,org.eclipse.tptp.trace.jvmti.internal.client.views.MemoryAnalysisViewer,14,2
200805,org.eclipse.ui.browser.view,13,4
200805,org.eclipse.ui.cheatsheets.views.CheatSheetView,37,17
200805,org.eclipse.ui.console.ConsoleView,20711,992
200805,org.eclipse.ui.internal.introview,215,87
200805,org.eclipse.ui.navigator.ProjectExplorer,17032,637
200805,org.eclipse.ui.texteditor.TemplatesView,13,5
200805,org.eclipse.ui.views.AllMarkersView,3,2
200805,org.eclipse.ui.views.BookmarkView,46,8
200805,org.eclipse.ui.views.ContentOutline,6745,746
200805,org.eclipse.ui.views.ProblemView,5062,781
200805,org.eclipse.ui.views.ProgressView,776,257
200805,org.eclipse.ui.views.PropertySheet,1128,183
200805,org.eclipse.ui.views.ResourceNavigator,5002,223
200805,org.eclipse.ui.views.TaskList,431,169
200805,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,115,7
200805,org.eclipse.ve.internal.java.codegen.editorpart.XMLViewPart,3,1
200805,org.eclipse.wst.common.snippets.internal.ui.SnippetsView,98,67
200805,org.eclipse.wst.internet.monitor.view,30,6
200805,org.eclipse.wst.jsdt.ui.JavadocView,4,3
200805,org.eclipse.wst.jsdt.ui.PackageExplorer,130,16
200805,org.eclipse.wst.jsdt.ui.SourceView,3,2
200805,org.eclipse.wst.jsdt.ui.TypeHierarchy,4,2
200805,org.eclipse.wst.server.ui.ServersView,6020,313
200805,org.eclipse.wst.xml.views.XPathView,6,2
200805,org.eclipse.wst.xml.xpath.ui.views.XPathNavigator,1,1
200806,org.eclipse.ajdt.ui.diff.ChangesView,1,1
200806,org.eclipse.ajdt.ui.EventTraceView,2,1
200806,org.eclipse.ant.ui.views.AntView,962,65
200806,org.eclipse.birt.report.designer.ui.attributes.AttributeView,122,15
200806,org.eclipse.birt.report.designer.ui.lib.explorer.view,16,9
200806,org.eclipse.birt.report.designer.ui.views.data.DataView,185,18
200806,org.eclipse.buckminster.ui.views.ComponentBrowserView,1,1
200806,org.eclipse.buckminster.ui.views.ComponentOutlineView,3,1
200806,org.eclipse.cdt.debug.ui.DisassemblyView,5,3
200806,org.eclipse.cdt.debug.ui.executablesView,10,5
200806,org.eclipse.cdt.make.ui.views.MakeView,439,28
200806,org.eclipse.cdt.ui.callHierarchy,124,10
200806,org.eclipse.cdt.ui.CView,654,27
200806,org.eclipse.cdt.ui.includeBrowser,11,4
200806,org.eclipse.cdt.ui.IndexView,2,2
200806,org.eclipse.cdt.ui.typeHierarchy,15,6
200806,org.eclipse.contribution.xref.ui.views.XReferenceView,12,2
200806,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,371,94
200806,org.eclipse.datatools.sqltools.plan.planView,19,10
200806,org.eclipse.datatools.sqltools.result.resultView,200,24
200806,org.eclipse.dd.ipxact.editor.ui.views.LibraryView,14,1
200806,org.eclipse.dd.ipxact.editor.ui.views.ReferencesView,2,1
200806,org.eclipse.debug.ui.BreakpointView,703,159
200806,org.eclipse.debug.ui.DebugView,6157,404
200806,org.eclipse.debug.ui.ExpressionView,253,72
200806,org.eclipse.debug.ui.MemoryView,17,6
200806,org.eclipse.debug.ui.ModuleView,2,2
200806,org.eclipse.debug.ui.RegisterView,1,1
