yearmonth,perspective,executeCount,userCount
200808,org.eclipse.ui.tests.views.properties.tabbed.views.TestsPerspective,5,1
200808,org.eclipse.v4all.ui.V4ALLPerspective,7,2
200808,org.eclipse.wst.jsdt.ui.JavaPerspective,499,296
200808,org.eclipse.wst.web.ui.webDevPerspective,1545,746
200808,org.eclipse.wst.xsl.ui.perspective,46,28
200809,org.eclipse.ajdt.ui.visualiser.AspectVisualizationPerspective,26,17
200809,org.eclipse.atf.mozilla.ide.ui.perspective,15,5
200809,org.eclipse.birt.report.designer.ui.ReportPerspective,993,384
200809,org.eclipse.birt.report.designer.ui.ReportRCPPerspective,3,1
200809,org.eclipse.cdt.ui.CPerspective,24194,6370
200809,org.eclipse.core.tools.runtime.PluginDependencyPerspective,1,1
200809,org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective,113,78
200809,org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective,1517,709
200809,org.eclipse.debug.ui.DebugPerspective,49838,13138
200809,org.eclipse.dltk.javascript.ui.JavascriptPerspective,5,3
200809,org.eclipse.dltk.lua.ui.LuaPerspective,1,1
200809,org.eclipse.dltk.python.ui.PythonPerspective,20,7
200809,org.eclipse.dltk.ruby.ui.RubyBrowsingPerspective,17,9
200809,org.eclipse.dltk.ruby.ui.RubyPerspective,196,72
200809,org.eclipse.dltk.tcl.ui.TclPerspective,25,9
200809,org.eclipse.ecf.ui.perspective.communications,119,65
200809,org.eclipse.emf.ecoretools.perspective,53,33
200809,org.eclipse.epsilon.perspective.EpsilonPerspectiveFactory,6,3
200809,org.eclipse.equinox.jmx.client.ui.ClientPerspectiveFactory,1,1
200809,org.eclipse.equinox.p2.ui.admin.ProvisioningPerspective,5,1
200809,org.eclipse.equinox.p2.ui.admin.rcp.ProvisioningRCPPerspective,5,1
200809,org.eclipse.hibachi.ui.AdaPerspective,4,3
200809,org.eclipse.hyades.trace.internal.ui.tracePerspective,246,81
200809,org.eclipse.hyades.ui.perspective.TestPerspective,22,15
200809,org.eclipse.jdt.ui.JavaBrowsingPerspective,3328,1402
200809,org.eclipse.jdt.ui.JavaHierarchyPerspective,101,62
200809,org.eclipse.jdt.ui.JavaPerspective,172669,40291
200809,org.eclipse.jpt.ui.jpaPerspective,418,249
200809,org.eclipse.jst.j2ee.J2EEPerspective,77179,25575
200809,org.eclipse.laszlo.rct.lzx.perspective,5,2
200809,org.eclipse.m2m.atl.adt.atlPerspective,67,34
200809,org.eclipse.mat.ui.perspective,12,7
200809,org.eclipse.mtj.ui.MtjPerspective,36,18
200809,org.eclipse.mylar.tasklist.ui.perspectives.planning,1,1
200809,org.eclipse.mylyn.tasks.ui.perspectives.planning,921,398
200809,org.eclipse.nab.mwt.ab.MwtPerspective,2,1
200809,org.eclipse.pde.ui.PDEPerspective,3649,1138
200809,org.eclipse.photran.ui.FortranPerspective,140,35
200809,org.eclipse.php.debug.ui.PHPDebugPerspective,217,53
200809,org.eclipse.php.perspective,1642,508
200809,org.eclipse.plugin.worldwind.Perspective,1,1
200809,org.eclipse.ptp.debug.ui.PTPDebugPerspective,7,2
200809,org.eclipse.ptp.ui.PTPRunPerspective,8,3
200809,org.eclipse.rse.ui.view.SystemPerspective,593,211
200809,org.eclipse.stp.sc.jaxws.perspective,5,5
200809,org.eclipse.team.cvs.ui.cvsPerspective,4201,1943
200809,org.eclipse.team.svn.ui.repository.RepositoryPerspective,3628,1405
200809,org.eclipse.team.ui.TeamSynchronizingPerspective,31496,7106
200809,org.eclipse.tigerstripe.community.tigerstripePerspective,1,1
200809,org.eclipse.ui.atf.webDevPerspective,26,11
200809,org.eclipse.ui.resourcePerspective,6623,2233
200809,org.eclipse.ui.tutorials.rcp.part1.perspective,3,1
200809,org.eclipse.ui.tutorials.rcp.part2.perspective,3,1
200809,org.eclipse.v4all.ui.V4ALLPerspective,4,1
200809,org.eclipse.wst.jsdt.ui.JavaPerspective,568,284
200809,org.eclipse.wst.web.ui.webDevPerspective,1766,862
200809,org.eclipse.wst.xsl.ui.perspective,69,36
200810,org.eclipse.ajdt.ui.visualiser.AspectVisualizationPerspective,12,10
200810,org.eclipse.atf.mozilla.ide.ui.perspective,5,1
200810,org.eclipse.birt.report.designer.ui.ReportPerspective,354,181
